"game_id"	"game_dt"	"home_team_id"	"away_team_id"	"inn_ct"	"bat_home_id"	"outs_ct"	"balls_ct"	"strikes_ct"	"pitch_seq_tx"	"event_tx"	"away_score_ct"	"home_score_ct"	"bat_id"	"pit_id"
KCA201406060	"20140606"	KCA	NYA	3	0	2	1	2	BCCS	K	4	1	suzui001	guthj001
KCA201406060	"20140606"	KCA	NYA	6	0	2	0	1	FX	"7/L"	4	2	suzui001	guthj001
KCA201406060	"20140606"	KCA	NYA	9	0	0	3	1	.BFBBX	S9/L	4	2	suzui001	rodrw003
KCA201406070	"20140607"	KCA	NYA	9	0	0	1	0	.BX	S9/L.2-3	3	8	suzui001	marim001
KCA201406080	"20140608"	KCA	NYA	2	0	0	0	0	B	WP.1-2	0	0	suzui001	shiej002
KCA201406080	"20140608"	KCA	NYA	2	0	0	1	1	B.LX	S7/L-.2-3	0	0	suzui001	shiej002
KCA201406080	"20140608"	KCA	NYA	4	0	0	0	2	CFC	K	0	2	suzui001	shiej002
KCA201406080	"20140608"	KCA	NYA	6	0	1	3	1	B*BB.CX	"63/G.3-H(UR)"	0	2	suzui001	shiej002
KCA201406080	"20140608"	KCA	NYA	6	0	1	2	0	B*BB	PB.2-3	0	2	suzui001	shiej002
KCA201406080	"20140608"	KCA	NYA	9	0	0	0	0	.X	S7/G	1	2	suzui001	hollg001
SEA201406100	"20140610"	SEA	NYA	2	0	0	1	2	CCBX	"7/L"	2	1	suzui001	iwakh001
SEA201406100	"20140610"	SEA	NYA	5	0	0	0	0	X	"7/L"	2	1	suzui001	iwakh001
SEA201406100	"20140610"	SEA	NYA	7	0	1	1	1	CBX	"43/G"	2	1	suzui001	iwakh001
SEA201406100	"20140610"	SEA	NYA	9	0	2	1	2	CCBC	K	3	2	suzui001	furbc001
SEA201406110	"20140611"	SEA	NYA	2	0	2	3	1	BFBBX	"5/P"	0	0	suzui001	younc003
SEA201406110	"20140611"	SEA	NYA	4	0	2	0	2	CCX	S7/L-	1	0	suzui001	younc003
SEA201406110	"20140611"	SEA	NYA	6	0	1	2	1	BFBX	"43/G"	4	0	suzui001	wilht001
SEA201406110	"20140611"	SEA	NYA	8	0	2	2	1	CBBX	"43/G"	4	0	suzui001	wilht001
SEA201406120	"20140612"	SEA	NYA	9	0	2	0	2	CCX	S8/L	6	2	suzui001	furbc001
OAK201406130	"20140613"	OAK	NYA	2	0	0	3	2	BFBBFT	K	2	0	suzui001	grays001
OAK201406130	"20140613"	OAK	NYA	3	0	2	0	1	CX	"53/G"	3	0	suzui001	grays001
OAK201406130	"20140613"	OAK	NYA	6	0	2	3	1	BCBBX	S14/G	3	0	suzui001	grays001
OAK201406130	"20140613"	OAK	NYA	8	0	2	0	2	CFX	S15/G.3-H;1-2	3	0	suzui001	franj003
OAK201406140	"20140614"	OAK	NYA	3	0	0	2	2	BBCCX	"13/G"	0	2	suzui001	kazms001
OAK201406140	"20140614"	OAK	NYA	4	0	2	3	2	BCCFFBBB	W	1	2	suzui001	kazms001
OAK201406140	"20140614"	OAK	NYA	7	0	0	1	2	..FBCX	"31/G"	1	5	suzui001	oterd001
OAK201406150	"20140615"	OAK	NYA	2	0	2	2	1	BCBX	S7/G.1-2	0	3	suzui001	chavj001
OAK201406150	"20140615"	OAK	NYA	5	0	1	0	1	CX	E3/G	0	10	suzui001	chavj001
OAK201406150	"20140615"	OAK	NYA	7	0	0	1	2	BCFX	S6/G	2	10	suzui001	cookr001
OAK201406150	"20140615"	OAK	NYA	9	0	0	0	2	.CFS	K23	3	10	suzui001	johnj010
NYA201406170	"20140617"	NYA	TOR	2	1	2	0	2	CCX	"43/G"	1	0	suzui001	strom001
NYA201406170	"20140617"	NYA	TOR	4	1	0	3	2	CCFBBFBS	K	1	2	suzui001	strom001
NYA201406170	"20140617"	NYA	TOR	6	1	0	2	2	.CBTBX	"63/G"	1	3	suzui001	redmt002
NYA201406170	"20140617"	NYA	TOR	8	1	2	1	1	BCX	"7/L"	1	3	suzui001	sants001
NYA201406180	"20140618"	NYA	TOR	7	1	1	3	1	..CBBBB	W.3-H;2-3;1-2	2	3	suzui001	cecib001
NYA201406190	"20140619"	NYA	TOR	2	1	1	3	2	CBFFBFBX	S9/G.1-2	0	1	suzui001	hutcd001
NYA201406190	"20140619"	NYA	TOR	3	1	2	0	0	X	"3/G"	2	3	suzui001	hutcd001
NYA201406190	"20140619"	NYA	TOR	5	1	2	1	2	CFBX	"13/G-"	2	4	suzui001	loupa001
NYA201406190	"20140619"	NYA	TOR	7	1	1	2	2	BCFBX	"8/F"	2	5	suzui001	delas001
NYA201406200	"20140620"	NYA	BAL	2	1	0	3	2	C*BLBF*BC	K	0	1	suzui001	jimeu001
NYA201406200	"20140620"	NYA	BAL	4	1	2	1	1	BFX	S7/L	0	1	suzui001	jimeu001
NYA201406200	"20140620"	NYA	BAL	6	1	0	0	1	FX	"5!/BP"	2	1	suzui001	jimeu001
NYA201406210	"20140621"	NYA	BAL	3	1	0	3	2	BBSBTX	"7/F"	1	0	suzui001	norrb001
NYA201406210	"20140621"	NYA	BAL	5	1	0	3	2	CCFBFBBS	K	5	1	suzui001	norrb001
NYA201406210	"20140621"	NYA	BAL	7	1	1	3	2	CB1BCBS	K	5	1	suzui001	webbr001
NYA201406210	"20140621"	NYA	BAL	9	1	2	1	0	BX	S8/G+	6	1	suzui001	huntt002
NYA201406220	"20140622"	NYA	BAL	3	1	1	3	1	FBBBX	S8/G	1	0	suzui001	tillc001
NYA201406220	"20140622"	NYA	BAL	5	1	1	2	2	CFBBX	S7/F-	1	0	suzui001	tillc001
NYA201406220	"20140622"	NYA	BAL	7	1	2	1	1	FBX	E3/G.1-3	3	0	suzui001	tillc001
TOR201406230	"20140623"	TOR	NYA	3	0	1	2	2	CSBFBX	"63/G"	0	7	suzui001	strom001
TOR201406230	"20140623"	TOR	NYA	5	0	2	2	0	BBX	"7/F"	1	8	suzui001	strom001
TOR201406230	"20140623"	TOR	NYA	8	0	2	3	2	CCBBBX	S9/G	1	8	suzui001	strom001
TOR201406250	"20140625"	TOR	NYA	2	0	1	0	2	CSX	"7/F"	0	1	suzui001	hutcd001
TOR201406250	"20140625"	TOR	NYA	3	0	2	0	0	X	"4!3/G"	4	1	suzui001	hutcd001
TOR201406250	"20140625"	TOR	NYA	5	0	2	1	0	BX	"31/G-"	4	1	suzui001	hutcd001
TOR201406250	"20140625"	TOR	NYA	7	0	2	3	1	*BBBC*B	W.2-3;1-2	5	3	suzui001	sants001
NYA201406270	"20140627"	NYA	BOS	2	1	2	1	2	CFBFS	K23	0	1	suzui001	workb001
NYA201406270	"20140627"	NYA	BOS	4	1	1	0	0	X	"5/P5F"	0	1	suzui001	workb001
